i	S	V
65843	1.6470589470512223e-6	0
66003	1.6510585995418432e-6	0
66083	1.6530589758324081e-6	0
66203	1.656060044410001e-6	0
66443	1.6620592046943482e-6	0
66643	1.6670586787551992e-6	0
66883	1.6730597270144248e-6	0
67003	1.6760597299811135e-6	0
67123	1.6790595751145088e-6	0
67243	1.6820593340568135e-6	0
67363	1.6850597851149374e-6	0
67443	1.687058883025122e-6	0
67563	1.690059178601025e-6	0
67763	1.6950597894682521e-6	0
67963	1.7000588461169852e-6	0
68083	1.7030589830658338e-6	0
68203	1.7060587528014055e-06	0
68283	1.7080590034362114e-6	0
68443	1.7120586774824454e-6	0
68643	1.7170591301997537e-6	0
68803	1.7210596549042957e-6	0
68883	1.7230592498016897e-6	0
68963	1.725059149125178e-6	0
69043	1.7270591897130669e-6	0
69563	1.740059872770522e-6	0
69803	1.7460597285377926e-6	0
70043	1.7520595894271974e-6	0
70123	1.7540590358152813e-6	0
70283	1.7580595492563652e-6	0
70523	1.7640593001532496e-6	0
70683	1.7680591395587558e-6	0
70763	1.770059735560622e-6	0
70923	1.7740598128912474e-6	0
71083	1.7780594313307959e-6	0
71163	1.78005926727604e-6	0
71283	1.783058970519103e-6	0
71523	1.7890590139223257e-6	0
71723	1.7940598351710837e-6	0
71963	1.800059343545333e-6	0
72083	1.8030591861161616e-6	0
72203	1.8060596634638995e-6	0
72323	1.8090595768016287e-6	0
72443	1.8120593249876383e-6	0
72523	1.81405985791075e-6	0
72643	1.8170593428821614e-6	0
72843	1.8220588686340586e-6	0
73043	1.8270595651429074e-6	0
73163	1.8300594157485217e-6	0
73283	1.8330592843393474e-6	0
73363	1.8350594083624735e-6	0
73523	1.8390590924977226e-6	0
73723	1.84405915399775e-6	0
73883	1.8480597495220558e-6	0
73963	1.8500597305641313e-6	0
74043	1.8520589418338409e-6	0
74123	1.8540588358335287e-6	0
74643	1.8670590876189444e-6	0
74883	1.8730597131886965e-6	0
75123	1.87905843676532e-6	0
75203	1.8810592466438806e-6	0
75363	1.8850599478037805e-6	0
75603	1.8910592018468404e-6	0
75763	1.895059440973147e-6	0
75843	1.8970593903549827e-6	0
76003	1.9010591919808756e-6	0
76163	1.9050591098522723e-6	0
76243	1.907058885121749e-6	0
76363	1.910058994549688e-6	0
76603	1.9160596187325836e-6	0
76803	1.9210591745689415e-6	0
77043	1.927059600735016e-6	0
77163	1.930058870406463e-6	0
77283	1.9330591686691406e-6	0
77403	1.93605979789409e-6	0
77523	1.9390595322745873e-6	0
77603	1.9410589583419886e-6	0
77723	1.9440597252851855e-6	0
77923	1.9490596379033654e-6	0
78123	1.954058789950551e-6	0
78243	1.957059267104747e-6	0
78363	1.960059692540622e-6	0
78443	1.9620591919636098e-6	0
78603	1.966059526172542e-6	0
78803	1.9710592050206344e-6	0
78963	1.975058870262923e-6	0
79043	1.9770591947947144e-6	0
79123	1.979059990906081e-6	0
79203	1.9810596116273788e-6	0
79723	1.994059523011611e-6	0
79963	2.000059392195633e-6	0
80483	2.013059416530799e-6	0
80723	2.019059225481723e-6	0
80963	2.0250587855742945e-6	0
