S	V	tags
8.5e-9	1	NA
8.525e-9	1	NA
8.55e-9	1	NA
8.575e-9	1	NA
8.600000000000001e-9	1	NA
8.625000000000001e-9	1	NA
8.65e-9	1	NA
8.675e-9	1	NA
8.7e-9	1	NA
8.725e-9	1	NA
8.75e-9	1	NA
8.775e-9	1	NA
8.800000000000001e-9	1	NA
8.825e-9	1	NA
8.85e-9	1	NA
8.875e-9	1	NA
8.9e-9	1	NA
8.925e-9	1	NA
8.95e-9	1	NA
8.975000000000001e-9	1	NA
9e-9	1	NA
9.025e-9	1	NA
9.05e-9	1	NA
9.075e-9	1	NA
9.1e-9	1	NA
9.125e-9	1	NA
9.150000000000001e-9	1	NA
9.175000000000001e-9	1	NA
9.2e-9	1	NA
9.225e-9	1	NA
9.25e-9	1	NA
9.275e-9	1	NA
9.3e-9	1	NA
9.325e-9	1	NA
9.350000000000001e-9	1	NA
9.375e-9	1	NA
9.4e-9	1	NA
9.425e-9	1	NA
9.45e-9	1	NA
9.475e-9	1	NA
9.5e-9	1	NA
9.525000000000001e-9	1	NA
9.550000000000001e-9	1	NA
9.575e-9	1	NA
9.6e-9	1	NA
9.625e-9	1	NA
9.65e-9	1	NA
9.675e-9	1	NA
9.700000000000001e-9	1	NA
9.725000000000001e-9	1	NA
9.75e-9	1	NA
9.775e-9	1	NA
9.8e-9	1	NA
9.825e-9	1	NA
9.85e-9	1	NA
9.875e-9	1	NA
9.900000000000001e-9	1	NA
9.925e-9	1	NA
9.95e-9	1	NA
9.975e-9	1	NA
1e-8	1	NA
1.0025e-8	1	NA
1.005e-8	1	NA
1.0075000000000001e-8	1	NA
1.0100000000000001e-8	1	NA
1.0125e-8	1	NA
1.015e-8	1	NA
1.0175e-8	1	NA
1.02e-8	1	NA
1.0225e-8	1	NA
1.025e-8	1	NA
1.0275000000000001e-8	1	NA
1.03e-8	1	NA
1.0325e-8	1	NA
1.035e-8	1	NA
1.0375e-8	1	NA
1.04e-8	1	NA
1.0425e-8	1	NA
1.0450000000000001e-8	1	NA
1.0475000000000001e-8	1	NA
1.05e-8	1	NA
1.0525e-8	1	NA
1.055e-8	1	NA
1.0575e-8	1	NA
1.06e-8	1	NA
1.0625000000000001e-8	1	NA
1.0650000000000001e-8	1	NA
1.0675e-8	1	NA
1.07e-8	1	NA
1.0725e-8	1	NA
1.075e-8	1	NA
1.0775e-8	1	NA
1.08e-8	1	NA
1.0825000000000001e-8	1	NA
1.0850000000000001e-8	1	NA
1.0875e-8	1	NA
1.09e-8	1	NA
1.0925e-8	1	NA
1.095e-8	1	NA
1.0975e-8	1	NA
1.1000000000000001e-8	1	NA
1.1025000000000001e-8	1	NA
1.105e-8	1	NA
1.1075e-8	1	NA
1.11e-8	1	NA
1.1125e-8	1	NA
1.115e-8	1	NA
1.1175e-8	1	NA
1.1200000000000001e-8	1	NA
1.1225e-8	1	NA
1.125e-8	1	NA
1.1275e-8	1	NA
1.13e-8	1	NA
1.1325e-8	1	NA
1.135e-8	1	NA
1.1375000000000001e-8	1	NA
1.1400000000000001e-8	1	NA
1.1425e-8	1	NA
1.145e-8	1	NA
1.1475e-8	1	NA
1.15e-8	1	NA
1.1525e-8	1	NA
1.1550000000000001e-8	1	NA
1.1575000000000001e-8	1	NA
1.16e-8	1	NA
1.1625e-8	1	NA
1.165e-8	1	NA
1.1675e-8	1	NA
1.17e-8	1	NA
1.1725e-8	1	NA
1.1750000000000001e-8	1	NA
1.1775000000000001e-8	1	NA
1.18e-8	1	NA
1.1825e-8	1	NA
1.185e-8	1	NA
1.1875e-8	1	NA
1.19e-8	1	NA
1.1925000000000001e-8	1	NA
1.1950000000000001e-8	1	NA
1.1975e-8	1	NA
1.2e-8	1	NA
1.2025e-8	1	NA
1.205e-8	1	NA
1.2075e-8	1	NA
1.21e-8	1	NA
1.2125000000000001e-8	1	NA
1.2150000000000001e-8	1	NA
1.2175e-8	1	NA
1.22e-8	1	NA
1.2225e-8	1	NA
1.225e-8	1	NA
1.2275e-8	1	NA
1.2300000000000001e-8	1	NA
1.2325000000000001e-8	1	NA
1.235e-8	1	NA
1.2375e-8	1	NA
1.24e-8	1	NA
1.2425e-8	1	NA
1.245e-8	1	NA
1.2475000000000001e-8	1	NA
1.2500000000000001e-8	1	NA
1.2525e-8	1	NA
1.255e-8	1	NA
1.2575e-8	1	NA
1.26e-8	1	NA
1.2625e-8	1	NA
1.265e-8	1	NA
1.2675000000000001e-8	1	NA
1.2700000000000001e-8	1	NA
1.2725e-8	1	NA
1.275e-8	1	NA
1.2775e-8	1	NA
1.28e-8	1	NA
1.2825e-8	1	NA
1.2850000000000001e-8	1	NA
1.2875000000000001e-8	1	NA
