S	pS
1.1505940094692381e-7	0.46830561250852537
1.1705940094692382e-7	-0.2693688207203705
1.1905940094692381e-7	-0.014747324951404536
1.210594009469238e-7	-0.4087879034807404
1.220594009469238e-7	-0.3027112804428779
1.2305940094692382e-7	-0.577345012482645
1.2405940094692382e-7	-0.2248071411549752
1.250594009469238e-7	-0.07784196249030235
1.260594009469238e-7	-0.021936727274510338
1.270594009469238e-7	-0.42116798118374693
1.3405940094692383e-7	-0.04338591675767142
1.4005940094692383e-7	0.37767101091574284
1.4105940094692382e-7	0.10290980163502375
1.460594009469238e-7	-0.6262587339902641
1.4805940094692382e-7	0.029337209930139226
1.520594009469238e-7	-0.5473812800746904
1.5305940094692382e-7	0.18455680492217696
1.5405940094692382e-7	-0.6292233575906951
1.5505940094692381e-7	-0.38445405581308323
1.580594009469238e-7	0.012929449667128983
1.620594009469238e-7	0.25764311885016083
1.640594009469238e-7	-0.8030369282554218
1.6505940094692382e-7	0.24785171769721556
1.680594009469238e-7	-0.20283003446991046
1.690594009469238e-7	-0.09670050699824209
1.700594009469238e-7	0.45111066191128657
1.7205940094692382e-7	0.13935328269992833
1.740594009469238e-7	0.40744600008379156
1.770594009469238e-7	0.05713948469561175
1.7805940094692382e-7	-0.21519101610628874
1.7905940094692382e-7	0.5785706546783526
1.8005940094692381e-7	0.2901230050589911
1.810594009469238e-7	-0.3671434228557434
1.830594009469238e-7	0.12694741792587558
1.880594009469238e-7	0.015105784093370864
1.890594009469238e-7	-0.1542951911172357
1.9005940094692382e-7	0.19512343042784452
1.940594009469238e-7	-0.3847090219681598
1.9705940094692382e-7	0.19158895077436
2.000594009469238e-7	0.05363729764384571
2.010594009469238e-7	-0.4111860637656487
2.0305940094692382e-7	-0.1943457860225826
2.0405940094692382e-7	-0.4657095588838287
2.060594009469238e-7	0.5564998840164228
2.0805940094692383e-7	-0.23232196769982968
2.0905940094692382e-7	-0.12069338949391593
2.1105940094692381e-7	0.24726018633573965
2.120594009469238e-7	0.15436218787641304
2.130594009469238e-7	0.3409672332909548
2.140594009469238e-7	-0.35701197638212573
2.1605940094692382e-7	-0.327179334657676
2.1705940094692381e-7	0.11826225485164575
2.2105940094692382e-7	-0.25278319907619745
2.2205940094692382e-7	-0.5803225984135564
2.240594009469238e-7	-0.2364482330364325
2.2705940094692382e-7	-0.9001801041216103
2.2905940094692382e-7	-0.37936086451540474
2.300594009469238e-7	0.19875952171539865
2.310594009469238e-7	-0.05476820748944387
2.3305940094692383e-7	-0.5393508188350631
2.3405940094692382e-7	0.11194046854846611
2.3505940094692382e-7	0.06514471009735309
2.380594009469238e-7	-0.5137524784820836
2.390594009469238e-7	-0.8763522959859693
2.420594009469238e-7	-0.16615962930796951
2.440594009469238e-7	-0.6923929261655012
2.460594009469238e-7	-0.29540873427770936
