i	S	V
49983	1.25005e-6	-1
50063	1.2520500000000002e-6	-1
50143	1.25405e-6	-1
50423	1.26105e-6	-1
50503	1.2630500000000001e-6	-1
50783	1.27005e-6	-1
50943	1.2740500000000001e-6	-1
51063	1.2770500000000001e-6	-1
51223	1.28105e-6	-1
51343	1.28405e-6	-1
51423	1.28605e-6	-1
51543	1.28905e-6	-1
51743	1.2940500000000001e-6	-1
51863	1.2970500000000001e-6	-1
52063	1.30205e-6	-1
52143	1.30405e-6	-1
52263	1.30705e-6	-1
52423	1.3110500000000001e-6	-1
52583	1.31505e-6	-1
52743	1.31905e-6	-1
52863	1.3220500000000001e-6	-1
52943	1.32405e-6	-1
53023	1.32605e-6	-1
53343	1.33405e-6	-1
53623	1.34105e-6	-1
53903	1.34805e-6	-1
54103	1.3530500000000001e-6	-1
54183	1.35505e-6	-1
54463	1.36205e-6	-1
54583	1.36505e-6	-1
54743	1.36905e-6	-1
54863	1.37205e-6	-1
55063	1.37705e-6	-1
55143	1.37905e-6	-1
55223	1.38105e-6	-1
55503	1.38805e-6	-1
55583	1.3900500000000001e-6	-1
55863	1.39705e-6	-1
56023	1.4010500000000001e-6	-1
56143	1.4040500000000001e-6	-1
56303	1.40805e-6	-1
56423	1.41105e-6	-1
56503	1.41305e-6	-1
56623	1.41605e-6	-1
56823	1.4210500000000001e-6	-1
56943	1.4240500000000002e-6	-1
57143	1.4290500000000001e-6	-1
57223	1.43105e-6	-1
57343	1.43405e-6	-1
57503	1.4380500000000001e-6	-1
57663	1.44205e-6	-1
57823	1.4460500000000001e-6	-1
57943	1.4490500000000001e-6	-1
58023	1.45105e-6	-1
58103	1.45305e-6	-1
58423	1.46105e-6	-1
58703	1.46805e-6	-1
58983	1.47505e-6	-1
59183	1.4800500000000001e-6	-1
59263	1.48205e-6	-1
59543	1.48905e-6	-1
59663	1.49205e-6	-1
59823	1.49605e-6	-1
59943	1.49905e-6	-1
60143	1.50405e-6	-1
60223	1.50605e-6	-1
60303	1.5080500000000001e-6	-1
60583	1.51505e-6	-1
60663	1.5170500000000002e-6	-1
60943	1.52405e-6	-1
61103	1.5280500000000001e-6	-1
61223	1.5310500000000001e-6	-1
61383	1.53505e-6	-1
61503	1.53805e-6	-1
61583	1.54005e-6	-1
61703	1.54305e-6	-1
61903	1.5480500000000002e-6	-1
62023	1.55105e-6	-1
62223	1.5560500000000001e-6	-1
62303	1.55805e-6	-1
62423	1.56105e-6	-1
62583	1.5650500000000002e-6	-1
62743	1.56905e-6	-1
62903	1.5730500000000001e-6	-1
63023	1.5760500000000001e-6	-1
63103	1.57805e-6	-1
63183	1.58005e-6	-1
63503	1.58805e-6	-1
63783	1.59505e-6	-1
64263	1.6070500000000001e-6	-1
64543	1.61405e-6	-1
64823	1.6210500000000001e-6	-1
65023	1.62605e-6	-1
65103	1.62805e-6	-1
65383	1.6350500000000001e-6	-1
65503	1.6380500000000001e-6	-1
65663	1.64205e-6	-1
65783	1.64505e-6	-1
65983	1.65005e-6	-1
66063	1.6520500000000001e-6	-1
66143	1.65405e-6	-1
66423	1.66105e-6	-1
66503	1.6630500000000001e-6	-1
66783	1.67005e-6	-1
66943	1.67405e-6	-1
67063	1.67705e-6	-1
67223	1.68105e-6	-1
67343	1.68405e-6	-1
67423	1.6860500000000001e-6	-1
67543	1.6890500000000002e-6	-1
67743	1.6940500000000001e-6	-1
67863	1.6970500000000001e-6	-1
68063	1.70205e-6	-1
68143	1.70405e-6	-1
68263	1.70705e-6	-1
68423	1.7110500000000001e-6	-1
68583	1.71505e-6	-1
68743	1.71905e-6	-1
68863	1.72205e-6	-1
68943	1.72405e-6	-1
69023	1.72605e-6	-1
69343	1.7340500000000002e-6	-1
69623	1.74105e-6	-1
69903	1.7480500000000001e-6	-1
70103	1.75305e-6	-1
70183	1.75505e-6	-1
70463	1.7620500000000001e-6	-1
70583	1.7650500000000002e-6	-1
70743	1.76905e-6	-1
70863	1.77205e-6	-1
71063	1.77705e-6	-1
71143	1.7790500000000001e-6	-1
71223	1.78105e-6	-1
71503	1.78805e-6	-1
71583	1.7900500000000001e-6	-1
71863	1.79705e-6	-1
72023	1.80105e-6	-1
72143	1.8040500000000001e-6	-1
72303	1.80805e-6	-1
72423	1.81105e-6	-1
72503	1.8130500000000002e-6	-1
72623	1.8160500000000002e-6	-1
72823	1.8210500000000001e-6	-1
72943	1.8240500000000001e-6	-1
73143	1.82905e-6	-1
73223	1.83105e-6	-1
73343	1.83405e-6	-1
73503	1.8380500000000001e-6	-1
73663	1.84205e-6	-1
73823	1.84605e-6	-1
73943	1.8490500000000001e-6	-1
74023	1.85105e-6	-1
74103	1.85305e-6	-1
74423	1.8610500000000002e-6	-1
74703	1.86805e-6	-1
74983	1.8750500000000002e-6	-1
75183	1.8800500000000001e-6	-1
75263	1.88205e-6	-1
75543	1.8890500000000002e-6	-1
75663	1.8920500000000002e-6	-1
75823	1.89605e-6	-1
75943	1.89905e-6	-1
76143	1.90405e-6	-1
76223	1.9060500000000002e-6	-1
76303	1.90805e-6	-1
76583	1.91505e-6	-1
76663	1.91705e-6	-1
76943	1.9240500000000002e-6	-1
77103	1.92805e-6	-1
77223	1.93105e-6	-1
77383	1.9350500000000002e-6	-1
77503	1.93805e-6	-1
77583	1.94005e-6	-1
77703	1.94305e-6	-1
77903	1.94805e-6	-1
78023	1.95105e-6	-1
78223	1.95605e-6	-1
78303	1.9580500000000003e-6	-1
78423	1.96105e-6	-1
78583	1.96505e-6	-1
78743	1.9690500000000002e-6	-1
78903	1.97305e-6	-1
79023	1.97605e-6	-1
79103	1.97805e-6	-1
79183	1.98005e-6	-1
79503	1.98805e-6	-1
79783	1.99505e-6	-1
80263	2.00705e-6	-1
80543	2.0140500000000002e-6	-1
80823	2.02105e-6	-1
81023	2.0260500000000003e-6	-1
81103	2.02805e-6	-1
81383	2.03505e-6	-1
81503	2.03805e-6	-1
81663	2.04205e-6	-1
81783	2.04505e-6	-1
81983	2.05005e-6	-1
82063	2.05205e-6	-1
82143	2.0540500000000003e-6	-1
82423	2.06105e-6	-1
82503	2.06305e-6	-1
82783	2.07005e-6	-1
82943	2.07405e-6	-1
83063	2.07705e-6	-1
83223	2.08105e-6	-1
83343	2.08405e-6	-1
83423	2.08605e-6	-1
83543	2.08905e-6	-1
83743	2.09405e-6	-1
83863	2.09705e-6	-1
84063	2.10205e-6	-1
84143	2.10405e-6	-1
84263	2.10705e-6	-1
84423	2.11105e-6	-1
84583	2.11505e-6	-1
84743	2.11905e-6	-1
84863	2.12205e-6	-1
84943	2.12405e-6	-1
85023	2.12605e-6	-1
85343	2.13405e-6	-1
85623	2.14105e-6	-1
85903	2.14805e-6	-1
86103	2.15305e-6	-1
86183	2.1550500000000002e-6	-1
86463	2.16205e-6	-1
86583	2.16505e-6	-1
86743	2.16905e-6	-1
86863	2.1720500000000002e-6	-1
87063	2.17705e-6	-1
87143	2.17905e-6	-1
87223	2.18105e-6	-1
87503	2.18805e-6	-1
87583	2.19005e-6	-1
87863	2.19705e-6	-1
88023	2.20105e-6	-1
88143	2.20405e-6	-1
88303	2.20805e-6	-1
88423	2.21105e-6	-1
88503	2.21305e-6	-1
88623	2.21605e-6	-1
88823	2.22105e-6	-1
88943	2.22405e-6	-1
89143	2.2290500000000003e-6	-1
89223	2.23105e-6	-1
89343	2.2340500000000002e-6	-1
89503	2.23805e-6	-1
89663	2.24205e-6	-1
89823	2.2460500000000003e-6	-1
89943	2.24905e-6	-1
90023	2.2510500000000002e-6	-1
90103	2.25305e-6	-1
90423	2.26105e-6	-1
90703	2.2680500000000002e-6	-1
90983	2.27505e-6	-1
91183	2.28005e-6	-1
91263	2.28205e-6	-1
91543	2.28905e-6	-1
91663	2.29205e-6	-1
91823	2.2960500000000002e-6	-1
91943	2.29905e-6	-1
92143	2.30405e-6	-1
92223	2.30605e-6	-1
92303	2.3080500000000003e-6	-1
92583	2.31505e-6	-1
92663	2.31705e-6	-1
92943	2.3240500000000002e-6	-1
93103	2.32805e-6	-1
93223	2.33105e-6	-1
93383	2.33505e-6	-1
