i	S	V
92163	2.30505e-6	1
92243	2.3070500000000002e-6	1
92363	2.31005e-6	1
92603	2.31605e-6	1
92803	2.32105e-6	1
93043	2.32705e-6	1
93163	2.3300500000000002e-6	1
93283	2.33305e-6	1
93403	2.3360500000000003e-6	1
93523	2.33905e-6	1
93603	2.3410500000000002e-6	1
93723	2.34405e-6	1
93923	2.34905e-6	1
94123	2.35405e-6	1
94243	2.35705e-6	1
94363	2.36005e-6	1
94443	2.36205e-6	1
94603	2.36605e-6	1
94803	2.37105e-6	1
94963	2.3750500000000002e-6	1
95043	2.37705e-6	1
95123	2.37905e-6	1
95203	2.3810500000000003e-6	1
95723	2.39405e-6	1
95963	2.40005e-6	1
96483	2.41305e-6	1
96723	2.41905e-6	1
96963	2.42505e-6	1
97043	2.42705e-6	1
97203	2.4310500000000002e-6	1
97443	2.4370500000000002e-6	1
97603	2.44105e-6	1
97683	2.4430500000000003e-6	1
97843	2.44705e-6	1
98003	2.45105e-6	1
98083	2.45305e-6	1
98203	2.45605e-6	1
98443	2.46205e-6	1
98643	2.46705e-6	1
98883	2.47305e-6	1
99003	2.47605e-6	1
99123	2.47905e-6	1
99243	2.4820500000000002e-6	1
99363	2.48505e-6	1
99443	2.48705e-6	1
99563	2.49005e-6	1
99763	2.49505e-6	1
99963	2.50005e-6	1
100083	2.50305e-6	1
100203	2.50605e-6	1
100283	2.50805e-6	1
100443	2.51205e-6	1
100643	2.51705e-6	1
100803	2.52105e-6	1
100883	2.52305e-6	1
100963	2.52505e-6	1
101043	2.5270500000000002e-6	1
101563	2.54005e-6	1
101803	2.54605e-6	1
102043	2.55205e-6	1
102123	2.55405e-6	1
102283	2.55805e-6	1
102523	2.56405e-6	1
102683	2.56805e-6	1
102763	2.57005e-6	1
102923	2.57405e-6	1
103083	2.5780500000000002e-6	1
103163	2.58005e-6	1
103283	2.58305e-6	1
103523	2.5890500000000002e-6	1
103723	2.59405e-6	1
103963	2.60005e-6	1
104083	2.60305e-6	1
