i	S	V
55543	1.389059649366106e-6	0
55743	1.394059454579728e-6	0
55983	1.4000593968441435e-6	0
56103	1.4030597004181085e-6	0
56223	1.406059889498267e-6	0
56343	1.4090587821201861e-6	0
56463	1.4120601094303535e-6	0
56543	1.4140595753506712e-6	0
56663	1.4170591698798118e-6	0
56863	1.4220595880509374e-6	0
57063	1.4270592619973603e-6	0
57183	1.430059112345539e-6	0
57303	1.4330598490451456e-6	0
57383	1.4350588086979735e-6	0
57543	1.43905943418577e-6	0
57743	1.4440588766915424e-6	0
57903	1.4480595463858849e-6	0
57983	1.4500592956090226e-6	0
58063	1.4520594628718912e-6	0
58143	1.4540599803838227e-6	0
58663	1.4670593114541287e-6	0
58903	1.473060299352867e-6	0
59143	1.4790597374243408e-6	0
59223	1.4810595839709885e-6	0
59383	1.485059410203195e-6	0
59623	1.4910586676342743e-6	0
59783	1.495058824398354e-6	0
59863	1.4970596207597842e-6	0
60023	1.5010595559762347e-6	0
60183	1.5050586472682282e-06	0
60263	1.5070590633789604e-6	0
60383	1.510059266536378e-6	0
60623	1.516059550118906e-6	0
60823	1.521058728494255e-6	0
61063	1.5270590838347028e-6	0
61183	1.5300583884778143e-6	0
61303	1.533059119500703e-6	0
61423	1.5360588452634369e-6	0
61543	1.53905915278842e-6	0
61623	1.541058603402264e-6	0
61743	1.5440590442132302e-6	0
61943	1.5490597119887674e-6	0
62143	1.554059749337666e-6	0
62263	1.5570594236025055e-6	0
62383	1.5600596245927653e-6	0
62463	1.5620595653944e-6	0
62623	1.5660598100958166e-6	0
62823	1.571059651268565e-6	0
62983	1.575059342342443e-6	0
63063	1.5770593535270486e-6	0
63143	1.5790587566472608e-6	0
63223	1.5810598939892685e-6	0
63743	1.5940599937260872e-6	0
63983	1.6000598171914216e-6	0
64503	1.613059307873704e-6	0
64743	1.6190590704215622e-6	0
64983	1.6250597900690365e-6	0
65063	1.627059118527556e-6	0
65223	1.6310592942042748e-6	0
65463	1.6370596873001291e-6	0
65623	1.6410586466383483e-6	0
65703	1.6430588724219097e-6	0
65863	1.6470589470512223e-6	0
66023	1.6510585995418432e-6	0
