i	S	V
51323	1.28405e-6	-1
51403	1.28605e-6	-1
51523	1.28905e-6	-1
51723	1.2940500000000001e-6	-1
51843	1.2970500000000001e-6	-1
52043	1.30205e-6	-1
52123	1.30405e-6	-1
52243	1.30705e-6	-1
52403	1.3110500000000001e-6	-1
52563	1.31505e-6	-1
52723	1.31905e-6	-1
52843	1.3220500000000001e-6	-1
52923	1.32405e-6	-1
53003	1.32605e-6	-1
53323	1.33405e-6	-1
53603	1.34105e-6	-1
53883	1.34805e-6	-1
54083	1.3530500000000001e-6	-1
54163	1.35505e-6	-1
54443	1.36205e-6	-1
54563	1.36505e-6	-1
54723	1.36905e-6	-1
54843	1.37205e-6	-1
55043	1.37705e-6	-1
55123	1.37905e-6	-1
55203	1.38105e-6	-1
55483	1.38805e-6	-1
55563	1.3900500000000001e-6	-1
55843	1.39705e-6	-1
56003	1.4010500000000001e-6	-1
56123	1.4040500000000001e-6	-1
56283	1.40805e-6	-1
56403	1.41105e-6	-1
56483	1.41305e-6	-1
56603	1.41605e-6	-1
56803	1.4210500000000001e-6	-1
56923	1.4240500000000002e-6	-1
57123	1.4290500000000001e-6	-1
57203	1.43105e-6	-1
57323	1.43405e-6	-1
57483	1.4380500000000001e-6	-1
57643	1.44205e-6	-1
57803	1.4460500000000001e-6	-1
57923	1.4490500000000001e-6	-1
58003	1.45105e-6	-1
58083	1.45305e-6	-1
58403	1.46105e-6	-1
58683	1.46805e-6	-1
58963	1.47505e-6	-1
59163	1.4800500000000001e-6	-1
59243	1.48205e-6	-1
59523	1.48905e-6	-1
59643	1.49205e-6	-1
59803	1.49605e-6	-1
59923	1.49905e-6	-1
60123	1.50405e-6	-1
60203	1.50605e-6	-1
60283	1.5080500000000001e-6	-1
60563	1.51505e-6	-1
60643	1.5170500000000002e-6	-1
60923	1.52405e-6	-1
61083	1.5280500000000001e-6	-1
61203	1.5310500000000001e-6	-1
61363	1.53505e-6	-1
61483	1.53805e-6	-1
61563	1.54005e-6	-1
61683	1.54305e-6	-1
61883	1.5480500000000002e-6	-1
62003	1.55105e-6	-1
62203	1.5560500000000001e-6	-1
62283	1.55805e-6	-1
62403	1.56105e-6	-1
62563	1.5650500000000002e-6	-1
62723	1.56905e-6	-1
62883	1.5730500000000001e-6	-1
63003	1.5760500000000001e-6	-1
63083	1.57805e-6	-1
63163	1.58005e-6	-1
63483	1.58805e-6	-1
63763	1.59505e-6	-1
64243	1.6070500000000001e-6	-1
64523	1.61405e-6	-1
64803	1.6210500000000001e-6	-1
65003	1.62605e-6	-1
65083	1.62805e-6	-1
65363	1.6350500000000001e-6	-1
65483	1.6380500000000001e-6	-1
65643	1.64205e-6	-1
65763	1.64505e-6	-1
65963	1.65005e-6	-1
66043	1.6520500000000001e-6	-1
66123	1.65405e-6	-1
66403	1.66105e-6	-1
66483	1.6630500000000001e-6	-1
66763	1.67005e-6	-1
66923	1.67405e-6	-1
67043	1.67705e-6	-1
67203	1.68105e-6	-1
67323	1.68405e-6	-1
67403	1.6860500000000001e-6	-1
67523	1.6890500000000002e-6	-1
67723	1.6940500000000001e-6	-1
67843	1.6970500000000001e-6	-1
68043	1.70205e-6	-1
68123	1.70405e-6	-1
68243	1.70705e-6	-1
68403	1.7110500000000001e-6	-1
68563	1.71505e-6	-1
68723	1.71905e-6	-1
68843	1.72205e-6	-1
68923	1.72405e-6	-1
69003	1.72605e-6	-1
69323	1.7340500000000002e-6	-1
69603	1.74105e-6	-1
69883	1.7480500000000001e-6	-1
70083	1.75305e-6	-1
70163	1.75505e-6	-1
70443	1.7620500000000001e-6	-1
70563	1.7650500000000002e-6	-1
70723	1.76905e-6	-1
70843	1.77205e-6	-1
71043	1.77705e-6	-1
71123	1.7790500000000001e-6	-1
71203	1.78105e-6	-1
71483	1.78805e-6	-1
71563	1.7900500000000001e-6	-1
71843	1.79705e-6	-1
72003	1.80105e-6	-1
72123	1.8040500000000001e-6	-1
72283	1.80805e-6	-1
72403	1.81105e-6	-1
72483	1.8130500000000002e-6	-1
72603	1.8160500000000002e-6	-1
72803	1.8210500000000001e-6	-1
72923	1.8240500000000001e-6	-1
73123	1.82905e-6	-1
73203	1.83105e-6	-1
73323	1.83405e-6	-1
73483	1.8380500000000001e-6	-1
73643	1.84205e-6	-1
73803	1.84605e-6	-1
73923	1.8490500000000001e-6	-1
74003	1.85105e-6	-1
74083	1.85305e-6	-1
74403	1.8610500000000002e-6	-1
74683	1.86805e-6	-1
74963	1.8750500000000002e-6	-1
75163	1.8800500000000001e-6	-1
75243	1.88205e-6	-1
75523	1.8890500000000002e-6	-1
75643	1.8920500000000002e-6	-1
75803	1.89605e-6	-1
75923	1.89905e-6	-1
76123	1.90405e-6	-1
76203	1.9060500000000002e-6	-1
76283	1.90805e-6	-1
76563	1.91505e-6	-1
76643	1.91705e-6	-1
76923	1.9240500000000002e-6	-1
77083	1.92805e-6	-1
77203	1.93105e-6	-1
77363	1.9350500000000002e-6	-1
77483	1.93805e-6	-1
77563	1.94005e-6	-1
77683	1.94305e-6	-1
77883	1.94805e-6	-1
78003	1.95105e-6	-1
78203	1.95605e-6	-1
78283	1.9580500000000003e-6	-1
78403	1.96105e-6	-1
78563	1.96505e-6	-1
78723	1.9690500000000002e-6	-1
78883	1.97305e-6	-1
79003	1.97605e-6	-1
79083	1.97805e-6	-1
79163	1.98005e-6	-1
79483	1.98805e-6	-1
79763	1.99505e-6	-1
80243	2.00705e-6	-1
80523	2.0140500000000002e-6	-1
80803	2.02105e-6	-1
81003	2.0260500000000003e-6	-1
81083	2.02805e-6	-1
81363	2.03505e-6	-1
81483	2.03805e-6	-1
81643	2.04205e-6	-1
81763	2.04505e-6	-1
81963	2.05005e-6	-1
82043	2.05205e-6	-1
82123	2.0540500000000003e-6	-1
82403	2.06105e-6	-1
82483	2.06305e-6	-1
82763	2.07005e-6	-1
82923	2.07405e-6	-1
83043	2.07705e-6	-1
83203	2.08105e-6	-1
83323	2.08405e-6	-1
83403	2.08605e-6	-1
83523	2.08905e-6	-1
83723	2.09405e-6	-1
